,PickedData1
线性刻度,线性刻度
0.21314331,3.802866665
0.21314331,3.244583226
0.21314331,2.008384183
0.404071938,6.913302967
0.595000566,8.787540226
0.785929194,8.508398507
0.976857822,7.750728125
1.167786449,7.63109596
1.358715077,7.551341183
1.549643705,7.192444686
1.740572333,6.913302967
2.122429589,5.318207427
2.313358217,4.919433542
2.504286845,4.401027492
2.695215473,3.723111888
2.886144101,3.40409278
3.077072729,2.726177176
3.268001357,2.128016348
3.458929985,1.689365075
3.649858613,1.370345967
3.840787241,0.453166032
4.031715869,-0.02536263
0.309898395,5.490936542
1.901760433,6.296997644
0.033140655,0.076400447
3.921889922,0.110162169
0.259395158,4.402121022
0.461408107,7.917560279
2.695215473,
2.886144101,
2.886144101,
3.077072729,
3.077072729,
3.268001357,
3.268001357,
3.458929985,
3.458929985,
3.649858613,
3.649858613,
3.840787241,
3.840787241,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
2.886144101,
2.886144101,
2.886144101,
3.077072729,
3.077072729,
3.077072729,
3.077072729,
3.268001357,
3.268001357,
3.268001357,
3.458929985,
3.458929985,
3.458929985,
3.649858613,
3.649858613,
3.649858613,
3.840787241,
3.840787241,
3.840787241,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
3.268001357,
3.268001357,
3.268001357,
3.268001357,
3.458929985,
3.458929985,
3.458929985,
3.458929985,
3.649858613,
3.649858613,
3.649858613,
3.649858613,
3.840787241,
3.840787241,
3.840787241,
3.840787241,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
3.458929985,
3.458929985,
3.649858613,
3.649858613,
3.649858613,
3.649858613,
3.649858613,
3.649858613,
3.649858613,
3.840787241,
3.840787241,
3.840787241,
3.840787241,
3.840787241,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
4.031715869,
